,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,"57 автомат,0-20А, 7,4 - 18 В, ЖК дисплей 240 а ч",15500951,62,11085,4212,Вымпел,24903,2264,5,https://www.wildberries.ru/catalog/15500951/detail.aspx?targetUrl=BP
1,😍👍🏻Видеорегистратор Xiaomi D06 RU,37503888,61,9551,3724,70mai,40483,1096,5,https://www.wildberries.ru/catalog/37503888/detail.aspx?targetUrl=BP
2,Автомобильный регистратор 3в1 зеркало,93209112,77,9941,2286,House of electronics,1195796,735,5,https://www.wildberries.ru/catalog/93209112/detail.aspx?targetUrl=BP
3,Видеорегистратор зеркало Автомобильный регистратор 2 камеры,50402467,96,57200,2288,S&H Electroniсs,173951,917,5,https://www.wildberries.ru/catalog/50402467/detail.aspx?targetUrl=BP
4,Зарядное устройство для автомобильного аккумулятора,112028818,51,2962,1451,AutoFat,1063415,496,5,https://www.wildberries.ru/catalog/112028818/detail.aspx?targetUrl=BP
5,Автомобильный регистратор 3в1 зеркало,78451415,70,9990,2997,House of electronics,1195796,735,5,https://www.wildberries.ru/catalog/78451415/detail.aspx?targetUrl=BP
6,Подсветка в машину авто RGB салона LED лента неоновая,44596588,75,4160,1040,PutyAvto,475714,645,5,https://www.wildberries.ru/catalog/44596588/detail.aspx?targetUrl=BP
7,Подсветка салона ног светодиодная в авто с ИК- пультом RGB,20825844,78,3597,791,HOUSEONE,131605,1513,5,https://www.wildberries.ru/catalog/20825844/detail.aspx?targetUrl=BP
8,Видеорегистратор зеркало с камерой заднего вида для машины,143371214,59,9732,3990,FELFRI,310412467,7,5,https://www.wildberries.ru/catalog/143371214/detail.aspx?targetUrl=BP
9,🚘🚗Видеорегистратор Xiaomi Midrive D06 RU,90148048,63,9401,3478,70mai,40483,231,5,https://www.wildberries.ru/catalog/90148048/detail.aspx?targetUrl=BP
10,Зарядное устройство для аккумулятора автомобиля зарядка акб,57783843,39,2749,1676,Foxsur / Tianye,1101266,1490,5,https://www.wildberries.ru/catalog/57783843/detail.aspx?targetUrl=BP
11,Автомагнитола с экраном Магнитола 2din Магнитофон в машину,88335527,65,10590,3706,AudioBonus,1105568,374,4,https://www.wildberries.ru/catalog/88335527/detail.aspx?targetUrl=BP
12,Эхолот для зимней и летней рыбалки с лодки и берега,139902180,51,6990,3425,LUCKY,21581,34,5,https://www.wildberries.ru/catalog/139902180/detail.aspx?targetUrl=BP
13,Видеорегистратор автомобильный сенсорный регистратор 2камеры,50409884,84,23118,3698,S&H Electroniсs,173951,455,5,https://www.wildberries.ru/catalog/50409884/detail.aspx?targetUrl=BP
14,Видеорегистратор автомобильный с камерой заднего вида,140935573,34,6786,4478,FARFAI,310479382,34,5,https://www.wildberries.ru/catalog/140935573/detail.aspx?targetUrl=BP
15,Зарядное устройство для аккумулятора АКБ,142508896,60,2500,1000,Tianye,637667,123,5,https://www.wildberries.ru/catalog/142508896/detail.aspx?targetUrl=BP
16,Видеорегистратор с камерой заднего вида City Dual,67570852,30,4999,3499,iBOX,52253,93,5,https://www.wildberries.ru/catalog/67570852/detail.aspx?targetUrl=BP
17,Автомобильный видеорегистратор зеркало 2 камеры автотовары,15886023,62,4826,1833,Хороший выбор,71355,953,4,https://www.wildberries.ru/catalog/15886023/detail.aspx?targetUrl=BP
18,Радар детектор с GPS базой камер Pro 800 Signature S,11141343,8,5999,5519,iBOX,52253,112,5,https://www.wildberries.ru/catalog/11141343/detail.aspx?targetUrl=BP
19,Камера заднего вида SONY AHD 1080,72361040,53,6437,3025,Teyes,175893,89,5,https://www.wildberries.ru/catalog/72361040/detail.aspx?targetUrl=BP
20,Автомобильное зарядное устройство,139695361,43,2029,1156,Turver,12405941,642,5,https://www.wildberries.ru/catalog/139695361/detail.aspx?targetUrl=BP
21,Радар-детектор Pro 700 Signature,43862803,50,9998,4999,iBOX,52253,149,5,https://www.wildberries.ru/catalog/43862803/detail.aspx?targetUrl=BP
22,Подсветка в машину салон автомобиля,136030898,65,2000,700,Fame Way,116675771,295,5,https://www.wildberries.ru/catalog/136030898/detail.aspx?targetUrl=BP
23,"Парктроники, парктроники на авто, датчики парковки на автомо…",30628324,63,3140,1161,Air-Shop,228149,490,5,https://www.wildberries.ru/catalog/30628324/detail.aspx?targetUrl=BP
24,Автомобильный видеорегистратор 3 в 1 регистратор 3 камеры,64331855,96,64974,2598,S&H Electroniсs,173951,567,4,https://www.wildberries.ru/catalog/64331855/detail.aspx?targetUrl=BP
25,Видеорегистратор зеркало Автомобильный регистратор 2 камеры,139202344,58,5140,2158,Witness,310439203,573,5,https://www.wildberries.ru/catalog/139202344/detail.aspx?targetUrl=BP
26,👍🏻 Автомобильный видеорегистратор зеркало,37423870,64,5940,2138,CRAZY PIXEL,87060,215,5,https://www.wildberries.ru/catalog/37423870/detail.aspx?targetUrl=BP
27,265 зарядка АКБ автомат 7А 12В 100ач EFB WET Ag Сa Ca,15500952,58,4377,1838,Вымпел,24903,2264,5,https://www.wildberries.ru/catalog/15500952/detail.aspx?targetUrl=BP
28,Автомобильное зарядное устройство,113500259,30,2034,1423,Turver,12405941,642,5,https://www.wildberries.ru/catalog/113500259/detail.aspx?targetUrl=BP
29,Зарядное устройство для автомобильного аккумулятора,112028817,51,2962,1451,AutoFat,1063415,496,5,https://www.wildberries.ru/catalog/112028817/detail.aspx?targetUrl=BP
30,Зарядное устройство для автомобильного аккумулятора 12В 6А,96415172,70,4600,1380,Гаражи,8564257,67,5,https://www.wildberries.ru/catalog/96415172/detail.aspx?targetUrl=BP
31,Видеорегистратор автомобильный в машину для видеонаблюдения,103214992,25,3187,2390,MIXI,103801,517,5,https://www.wildberries.ru/catalog/103214992/detail.aspx?targetUrl=BP
32,Видеорегистратор автомобильный в машину для видеонаблюдения,99691552,60,5995,2398,MIXI,103801,517,5,https://www.wildberries.ru/catalog/99691552/detail.aspx?targetUrl=BP
33,🎁 Эхолот для зимней и летней рыбалки,95212404,46,6593,3560,LUCKY,21581,49,5,https://www.wildberries.ru/catalog/95212404/detail.aspx?targetUrl=BP
34,Автомагнитола 2DIN + Камера Подарок,99395909,70,11000,3300,AAA01,11687276,65,5,https://www.wildberries.ru/catalog/99395909/detail.aspx?targetUrl=BP
35,Камера заднего вида SONY AHD 1080 широкоугольная,45469365,53,6437,3025,Teyes,175893,80,5,https://www.wildberries.ru/catalog/45469365/detail.aspx?targetUrl=BP
36,Видеорегистратор X5 - 0G,47425763,35,8250,5362,Teyes,175893,56,5,https://www.wildberries.ru/catalog/47425763/detail.aspx?targetUrl=BP
37,⭐⭐⭐⭐⭐ Видеорегистратор автомобильный сенсорный 2 камеры,137646010,81,16600,3154,АвтоМото,1479548,57,5,https://www.wildberries.ru/catalog/137646010/detail.aspx?targetUrl=BP
38,Видеорегистратор автомобильный с камерой заднего вида,142811373,63,9999,3699,ELSERA,75341516,40,5,https://www.wildberries.ru/catalog/142811373/detail.aspx?targetUrl=BP
39,Светодиодная подсветка салона автомобиля,63070575,69,2394,742,HOUSEONE,131605,273,4,https://www.wildberries.ru/catalog/63070575/detail.aspx?targetUrl=BP
