,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Набор для маникюра и педикюра с лампой,95166413,60,7400,2960,Vlada beauty,2757413,2198,4,https://www.wildberries.ru/catalog/95166413/detail.aspx?targetUrl=BP
1,"Fusion5 Мужская Бритва, 4 кассеты, c точным триммером",14257313,0,1619,1619,GILLETTE,5997,4125,5,https://www.wildberries.ru/catalog/14257313/detail.aspx?targetUrl=BP
2,"Зеркало женское гримерное с подсветкой, кнопкой для ухода ли…",41235339,84,4154,664,Cosmo Group,77789,2833,5,https://www.wildberries.ru/catalog/41235339/detail.aspx?targetUrl=BP
3,Ультразвуковая чистка для лица аппарат,91513182,60,2960,1184,RAVOLTA,310554448,1397,5,https://www.wildberries.ru/catalog/91513182/detail.aspx?targetUrl=BP
4,Станок для бритья мужской Бритва женская бритвенный мужчин,109825506,62,1900,722,FenixPro,196113,1206,5,https://www.wildberries.ru/catalog/109825506/detail.aspx?targetUrl=BP
5,Кисти для макияжа Набор для лица бровей Подарок подруге,113499766,59,3610,1480,Blushade,1323741,1922,5,https://www.wildberries.ru/catalog/113499766/detail.aspx?targetUrl=BP
6,Аппарат для маникюра и педикюра 45000 об,62121117,90,17900,1790,Аппарат для маникюра и педикюра Nail Polisher,909949,3751,5,https://www.wildberries.ru/catalog/62121117/detail.aspx?targetUrl=BP
7,Набор для маникюра и педикюра с лампой,142233817,60,7300,2920,Sabbi professional,124665,321,4,https://www.wildberries.ru/catalog/142233817/detail.aspx?targetUrl=BP
8,"Органайзер для косметики, набор 6 шт",83354237,47,1700,901,hausland,211173,460,5,https://www.wildberries.ru/catalog/83354237/detail.aspx?targetUrl=BP
9,"Органайзер для косметики, набор 12 шт",50616845,54,3200,1472,hausland,211173,444,5,https://www.wildberries.ru/catalog/50616845/detail.aspx?targetUrl=BP
10,Ультразвуковая чистка лица аппарат для ухода за кожей,133295680,70,3000,900,OMFORT,129061219,625,5,https://www.wildberries.ru/catalog/133295680/detail.aspx?targetUrl=BP
11,Перманентный макияж татуаж перманент,71242678,0,1482,1482,MAST by Dragonhawk,141399,449,5,https://www.wildberries.ru/catalog/71242678/detail.aspx?targetUrl=BP
12,Кисти для макияжа набор для теней пудры румян контуринга,87445461,71,3800,1102,MAGICAE,269557,385,5,https://www.wildberries.ru/catalog/87445461/detail.aspx?targetUrl=BP
13,Маникюрный набор с аппаратом и лампой Набор гель-лаков,48773506,43,8800,5016,IVILISHOW,303122,1485,5,https://www.wildberries.ru/catalog/48773506/detail.aspx?targetUrl=BP
14,Кисти для макияжа косметические профессиональные набор,47707482,48,1763,916,Magic Love Cosmetic,1387332,1360,5,https://www.wildberries.ru/catalog/47707482/detail.aspx?targetUrl=BP
15,Пилки для ногтей 100 180 и 180 240 грит Lisanail Корея,59117808,90,6900,690,Lisanail Professional,1193352,2446,5,https://www.wildberries.ru/catalog/59117808/detail.aspx?targetUrl=BP
16,Набор для ламинирования бровей Укладка Составы,67526655,50,2220,1110,Ресничная Фея,364161,577,5,https://www.wildberries.ru/catalog/67526655/detail.aspx?targetUrl=BP
17,Полка для лаков Органайзер для косметики Настенная Стеллаж,49038148,55,3000,1350,BeStyle,165362,454,5,https://www.wildberries.ru/catalog/49038148/detail.aspx?targetUrl=BP
18,Квадрон Картриджи для татуажа,67544884,62,7116,2704,KWADRON,149824,244,5,https://www.wildberries.ru/catalog/67544884/detail.aspx?targetUrl=BP
19,Вакуумный очиститель пор уход от прыщей,27534051,37,1000,630,Вакуумный массажер антивозрастной,1343417,1404,4,https://www.wildberries.ru/catalog/27534051/detail.aspx?targetUrl=BP
20,Маникюрный набор Mijia 5в1,90421474,35,1010,656,Xiaomi,19467,191,5,https://www.wildberries.ru/catalog/90421474/detail.aspx?targetUrl=BP
21,Зеркало настольное с подсветкой для макияжа NV026,14746179,43,1515,863,JORDAN&JUDY,72072,1272,5,https://www.wildberries.ru/catalog/14746179/detail.aspx?targetUrl=BP
22,"Набор кистей для макияжа, натуральный ворс, профессиональные",71405678,14,3700,3182,Bebeaut,236968,140,5,https://www.wildberries.ru/catalog/71405678/detail.aspx?targetUrl=BP
23,Подарочный маникюрный набор для маникюра и педикюра,74727620,76,9999,2399,S&H Style,431919,297,5,https://www.wildberries.ru/catalog/74727620/detail.aspx?targetUrl=BP
24,Ультразвуковой аппарат Уход за кожей средство от прыщей,92181577,84,6164,986,Aromalife,248306,1060,5,https://www.wildberries.ru/catalog/92181577/detail.aspx?targetUrl=BP
25,Маникюрный набор для маникюра и педикюра,46433087,54,1650,759,ACASE,423608,344,4,https://www.wildberries.ru/catalog/46433087/detail.aspx?targetUrl=BP
