,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Оснащенная удочка для поплавочной рыбалки в сборе,29942557,43,1772,1010,Рыболов-экспресс,101071,1060,5,https://www.wildberries.ru/catalog/29942557/detail.aspx?targetUrl=BP
1,Набор рыбака всё для рыбалки снасти ящик рыболовный подарок,18361616,41,2541,1499,Рыболов-экспресс,101071,514,5,https://www.wildberries.ru/catalog/18361616/detail.aspx?targetUrl=BP
2,Оснащенная удочка для поплавочной рыбалки в сборе,29942572,36,1383,885,Рыболов-экспресс,101071,1060,5,https://www.wildberries.ru/catalog/29942572/detail.aspx?targetUrl=BP
3,Удочка оснащённая для зимней рыбалки,138790122,15,1700,1445,Peskador,310428127,19,5,https://www.wildberries.ru/catalog/138790122/detail.aspx?targetUrl=BP
4,Спиннинг для рыбалки комплект с катушкой набор,143211084,55,4000,1800,Peskador,310428127,4,5,https://www.wildberries.ru/catalog/143211084/detail.aspx?targetUrl=BP
5,Рыболовные аксессуары 12 шт,74700508,70,2542,762,Рыбак Николай,314624,37,5,https://www.wildberries.ru/catalog/74700508/detail.aspx?targetUrl=BP
6,"Набор для рыбалки 9 в 1. Удилище 3,6м",36929253,49,3150,1606,GC-Famiscom,152140,58,5,https://www.wildberries.ru/catalog/36929253/detail.aspx?targetUrl=BP
7,Рыболовные крючки,72194664,57,1800,774,Рыбный терем,862793,43,5,https://www.wildberries.ru/catalog/72194664/detail.aspx?targetUrl=BP
8,Меласса темная прикормка для рыбы 500 мл меласса патока прик…,14411907,60,1727,690,Отличного клёва,95207,262,5,https://www.wildberries.ru/catalog/14411907/detail.aspx?targetUrl=BP
9,Удочка оснащённая для зимней рыбалки,138790123,50,1700,850,Peskador,310428127,19,5,https://www.wildberries.ru/catalog/138790123/detail.aspx?targetUrl=BP
10,Набор рыбака всё для рыбалки снасти ящик рыболовный подарок,18361612,44,6054,3390,Рыболов-экспресс,101071,514,5,https://www.wildberries.ru/catalog/18361612/detail.aspx?targetUrl=BP
11,Набор рыбака для летней рыбалки. Удилище 3 метра,45768153,49,5800,2958,GC-Famiscom,152140,55,5,https://www.wildberries.ru/catalog/45768153/detail.aspx?targetUrl=BP
12,"Подставка для удочки, Род под для рыбалки, Держатель удочки",143229158,48,1100,572,Rybolov Shop,398202,0,0,https://www.wildberries.ru/catalog/143229158/detail.aspx?targetUrl=BP
13,Оснащенные рыболовные фидерные кормушки клетка 10 штук,77185477,61,2000,780,Рыбалка с Николой,715743,34,5,https://www.wildberries.ru/catalog/77185477/detail.aspx?targetUrl=BP
14,Набор рыболовных крючков,141346522,57,1980,851,Рыбный терем,862793,43,5,https://www.wildberries.ru/catalog/141346522/detail.aspx?targetUrl=BP
15,Леска для рыбалки оранжевая,27141890,35,1890,1228,CAIMAN,61021,46,5,https://www.wildberries.ru/catalog/27141890/detail.aspx?targetUrl=BP
16,катушка для спиннинга,111934182,41,2157,1272,Ваш Выбор,100222,5,5,https://www.wildberries.ru/catalog/111934182/detail.aspx?targetUrl=BP
17,Катушка для рыбалки 6000 фидерная,86927340,40,4690,2814,Viva Leisure,1316375,4,5,https://www.wildberries.ru/catalog/86927340/detail.aspx?targetUrl=BP
18,Удочка 360 см в сборе на поплавок набор снастей удилище,119355370,69,6598,2045,МЯFish,1239575,1,5,https://www.wildberries.ru/catalog/119355370/detail.aspx?targetUrl=BP
19,Монтаж для технопланктона № 6 попл 80 г 2 кр № 15 груз 40 г,31243553,73,3326,898,Гидропланктон,85106,3,5,https://www.wildberries.ru/catalog/31243553/detail.aspx?targetUrl=BP
20,Оснащенные рыболовные фидерные кормушки клетка 10 штук,77176326,62,2000,760,Рыбалка с Николой,715743,34,5,https://www.wildberries.ru/catalog/77176326/detail.aspx?targetUrl=BP
21,Ассорти технопланктон Т40х3-2 5 сортов по 2 уп на рыбалку,37292121,82,4730,851,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/37292121/detail.aspx?targetUrl=BP
22,Печенье технопланктон для ловли толстолобика 80 г х 11 шт в…,31243507,82,3888,699,Гидропланктон,85106,1,5,https://www.wildberries.ru/catalog/31243507/detail.aspx?targetUrl=BP
23,Леска для рыбалки оранжевая,27142352,35,1890,1228,CAIMAN,61021,46,5,https://www.wildberries.ru/catalog/27142352/detail.aspx?targetUrl=BP
24,Мягкие силиконовые приманки джиг головки твистер виброхвост,74265830,45,1350,742,Рыбный терем,862793,78,5,https://www.wildberries.ru/catalog/74265830/detail.aspx?targetUrl=BP
25,Снасть для донной ловли с лидкором Т-образная оснастка 70г,14970709,73,2628,709,Гидропланктон,85106,33,4,https://www.wildberries.ru/catalog/14970709/detail.aspx?targetUrl=BP
26,Поводочница карповая c 4 отсеками,39217826,35,1490,968,Condor,37635,1,5,https://www.wildberries.ru/catalog/39217826/detail.aspx?targetUrl=BP
27,Ассорти прикормка для ловли рыбы приманка для рыбы на рыбалк…,37292118,74,4730,1229,Гидропланктон,85106,3,4,https://www.wildberries.ru/catalog/37292118/detail.aspx?targetUrl=BP
28,Катушка рыболовная Rock Catcher 6000,144668137,30,4000,2800,Alpha,1728,1,5,https://www.wildberries.ru/catalog/144668137/detail.aspx?targetUrl=BP
29,Катушка Classic Carp Baitrunner5000 6+1BB 5.0 1Screw Handle,115448457,0,2881,2881,Brain,174252,3,5,https://www.wildberries.ru/catalog/115448457/detail.aspx?targetUrl=BP
30,Тренога для рыбалки телескоп 103 см,38305507,45,2490,1369,NAMAZU,70261,12,4,https://www.wildberries.ru/catalog/38305507/detail.aspx?targetUrl=BP
31,Монтаж для технопланктона № 4 попл 60 г 2 кр № 15 груз 40 г,31243551,73,3326,898,Гидропланктон,85106,5,5,https://www.wildberries.ru/catalog/31243551/detail.aspx?targetUrl=BP
