,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Набор кухонных ножей из 6 предметов,25197096,80,3120,624,HomeKnife,160476,17767,5,https://www.wildberries.ru/catalog/25197096/detail.aspx?targetUrl=BP
1,✅ Кованые кухонные ножи набор 6 предм. професс.серия Toronto,5701022,73,9422,2543,AxWild,42988,3829,5,https://www.wildberries.ru/catalog/5701022/detail.aspx?targetUrl=BP
2,"Точилка для ножей ручная, ножеточка, заточка, точило ножниц",74822757,69,2794,866,Homeberg,177722,1717,5,https://www.wildberries.ru/catalog/74822757/detail.aspx?targetUrl=BP
3,Набор кухонных ножей из 6 предметов,19420165,75,3200,800,HomeKnife,160476,17767,5,https://www.wildberries.ru/catalog/19420165/detail.aspx?targetUrl=BP
4,Набор ножей Vertex 3 пр Кухонные ножи Подарок мужчине,15028394,47,1740,922,APOLLO genio,69043,739,5,https://www.wildberries.ru/catalog/15028394/detail.aspx?targetUrl=BP
5,Набор ножей кухонных шеф универсальный,74271988,92,13490,1079,Domolend,943726,364,5,https://www.wildberries.ru/catalog/74271988/detail.aspx?targetUrl=BP
6,"Набор кухонных ножей 5 штук овощечистка, ножницы",45353564,33,1490,998,Messor,53324,524,5,https://www.wildberries.ru/catalog/45353564/detail.aspx?targetUrl=BP
7,Набор кухонных ножей с подставкой Ножи кухонные,59164190,68,11138,3564,Taller,6059,154,5,https://www.wildberries.ru/catalog/59164190/detail.aspx?targetUrl=BP
8,🎁🔪🥒 Кухонные ножи набор,99152268,61,2500,975,Berthet,300767,170,5,https://www.wildberries.ru/catalog/99152268/detail.aspx?targetUrl=BP
9,Нож кухонный,91570043,52,2580,1238,Berthet,300767,219,5,https://www.wildberries.ru/catalog/91570043/detail.aspx?targetUrl=BP
10,Точилка для ножей водный камень точило,27554083,72,4970,1391,TUOTOWN,162721,558,5,https://www.wildberries.ru/catalog/27554083/detail.aspx?targetUrl=BP
11,"Точилка для ножей ручная, ножеточка, заточка, точило ножниц",21850987,69,2710,840,Homeberg,177722,1717,5,https://www.wildberries.ru/catalog/21850987/detail.aspx?targetUrl=BP
12,Подставка для ножей под посуду настольная кухонная столовых…,18585310,75,3327,831,HomeComfort,137649,314,5,https://www.wildberries.ru/catalog/18585310/detail.aspx?targetUrl=BP
13,Точилка для ножей ножеточка,59188785,68,2484,794,Spolax,342011,387,5,https://www.wildberries.ru/catalog/59188785/detail.aspx?targetUrl=BP
14,"Точилка для ножей ручная, ножеточка, заточка, точило ножниц",115942671,69,1994,618,Homeberg,177722,319,5,https://www.wildberries.ru/catalog/115942671/detail.aspx?targetUrl=BP
15,Ножи кухонные набор подарочный для кухни нержавеющая сталь,97201176,57,5543,2383,LuckyKitchen,2633525,227,5,https://www.wildberries.ru/catalog/97201176/detail.aspx?targetUrl=BP
16,Профессиональный набор кухонных ножей 3 штуки,114617435,65,2490,871,Messor,53324,524,5,https://www.wildberries.ru/catalog/114617435/detail.aspx?targetUrl=BP
17,🇩🇪 Электрическая точилка для ножей Е-103 ножеточка,111616276,71,12000,3480,Edelshtauff,1371945,124,5,https://www.wildberries.ru/catalog/111616276/detail.aspx?targetUrl=BP
18,Точилка для ножей ручная ножеточка заточка,76456723,61,10000,3900,Market Shop DT,150253,185,5,https://www.wildberries.ru/catalog/76456723/detail.aspx?targetUrl=BP
19,Точилка для ножей,32966733,42,2849,1652,GALAXY,15258,81,5,https://www.wildberries.ru/catalog/32966733/detail.aspx?targetUrl=BP
20,Набор ножей из нержавеющей стали в подарочной коробке 6 в 1,25741127,95,16520,826,Best Trend,124721,2252,5,https://www.wildberries.ru/catalog/25741127/detail.aspx?targetUrl=BP
21,Подставка для ножей с наполнителем круглая,143495790,37,1855,1168,LaDina,40176,17,5,https://www.wildberries.ru/catalog/143495790/detail.aspx?targetUrl=BP
22,Набор ножей кухонных для дома и дачи из 6 предметов,83269549,95,39480,1974,Best Trend,124721,2252,5,https://www.wildberries.ru/catalog/83269549/detail.aspx?targetUrl=BP
23,Точилка для ножей точильный камень,135752912,50,2726,1363,Spolax,342011,66,5,https://www.wildberries.ru/catalog/135752912/detail.aspx?targetUrl=BP
24,Точильный камень брусок для заточки ножей точилка для кухни,30308589,53,1808,849,KD,31790,265,5,https://www.wildberries.ru/catalog/30308589/detail.aspx?targetUrl=BP
25,Набор кухонных ножей из 6 предметов с овощечисткой,77094497,95,15281,764,Like Shop,143894,804,5,https://www.wildberries.ru/catalog/77094497/detail.aspx?targetUrl=BP
26,"Точильный камень водный, брусок, набор для заточки ножей",42629338,35,4153,2699,KD,31790,71,5,https://www.wildberries.ru/catalog/42629338/detail.aspx?targetUrl=BP
27,Подставка для ножей,93676135,55,2198,989,Homaider,823882,185,5,https://www.wildberries.ru/catalog/93676135/detail.aspx?targetUrl=BP
28,Набор ножей кухонных с подставкой,62827919,63,10000,3700,Firts Home,913104,93,5,https://www.wildberries.ru/catalog/62827919/detail.aspx?targetUrl=BP
29,Набор кухонных ножей из 6 предметов с овощечисткой,110072333,95,17900,895,Like Shop,143894,804,5,https://www.wildberries.ru/catalog/110072333/detail.aspx?targetUrl=BP
30,"Универсальный нож -топорик, тесак, поварской нож кухонный",126959294,68,3500,1120,OldBerris,1031356,46,5,https://www.wildberries.ru/catalog/126959294/detail.aspx?targetUrl=BP
31,Точильный камень водный комбинированный,100241069,59,1817,744,Chelay,786116,40,4,https://www.wildberries.ru/catalog/100241069/detail.aspx?targetUrl=BP
32,Набор кухонных ножей с подставкой на подставке ножи кухонные,84916386,26,3490,2582,Kitchen Queen,98791,71,5,https://www.wildberries.ru/catalog/84916386/detail.aspx?targetUrl=BP
33,"Подставка для ножей, настенный стерилизатор",100549431,55,3999,1799,☕️ 🍩 Kitch Delvita 🎁,310546984,28,5,https://www.wildberries.ru/catalog/100549431/detail.aspx?targetUrl=BP
34,Нож шинковка для капусты ручной с двумя лезвиями. Овощерезка,143089414,50,1200,600,Price Mall,310522526,44,5,https://www.wildberries.ru/catalog/143089414/detail.aspx?targetUrl=BP
35,Точилка для ножей ручная мусат ножеточка кухонная утварь,36003540,49,1318,672,Tramontina,10510,153,5,https://www.wildberries.ru/catalog/36003540/detail.aspx?targetUrl=BP
36,Подставка для ножей с наполнителем для ножниц универсальная,61483673,52,1833,879,MAYER&BOCH,8576,45,5,https://www.wildberries.ru/catalog/61483673/detail.aspx?targetUrl=BP
37,Нож кухонный профессиональный поварской лезвие 20 см,17339967,58,7750,3255,PAUDIN Pro,129764,39,5,https://www.wildberries.ru/catalog/17339967/detail.aspx?targetUrl=BP
38,Мусат керамический точилка для ножей,23183334,62,2832,1076,MITBAH,110650,150,5,https://www.wildberries.ru/catalog/23183334/detail.aspx?targetUrl=BP
39,Точилка для ножей мусат керамический,50093562,89,7311,804,TUOTOWN,162721,175,4,https://www.wildberries.ru/catalog/50093562/detail.aspx?targetUrl=BP
40,Универсальный нож сантоку шеф-нож,96052581,62,1575,598,TUOTOWN,162721,260,5,https://www.wildberries.ru/catalog/96052581/detail.aspx?targetUrl=BP
41,"Ножи кухонные и ножницы, набор 6 предметов",21631047,66,2940,999,Regent inox,5933,20,5,https://www.wildberries.ru/catalog/21631047/detail.aspx?targetUrl=BP
42,"Кухонная подставка для ножей, Держатель для ножниц",36533112,82,4940,889,Shiny Kitchen,108942,310,5,https://www.wildberries.ru/catalog/36533112/detail.aspx?targetUrl=BP
43,Точилка для ножей ручная ножеточка,31198007,64,4705,1693,BAUM ZINDECH,313323,91,5,https://www.wildberries.ru/catalog/31198007/detail.aspx?targetUrl=BP
44,Точилка для ножей ножеточка туристические ножи кухонные нож,38069279,78,10998,2419,TUOTOWN,162721,585,5,https://www.wildberries.ru/catalog/38069279/detail.aspx?targetUrl=BP
45,Точилка для ножей и ножниц ножеточка,19648611,82,3925,706,TUOTOWN,162721,358,5,https://www.wildberries.ru/catalog/19648611/detail.aspx?targetUrl=BP
46,✅Разделочный кованый топорик-секира для разделки мяса,10470403,66,9900,3366,AxWild,42988,219,5,https://www.wildberries.ru/catalog/10470403/detail.aspx?targetUrl=BP
47,Нож кухонный Резак для теста Лапшерезка,113520428,84,13200,2112,Mix,49438,5,5,https://www.wildberries.ru/catalog/113520428/detail.aspx?targetUrl=BP
48,"Hож поварской, нож-шеф, 20 см",82005952,76,3406,817,Swiss Diamond,8567,154,5,https://www.wildberries.ru/catalog/82005952/detail.aspx?targetUrl=BP
49,Набор ножей кухонных 5 штук овощечистка ножницы,136513754,38,1531,949,Messor,53324,42,5,https://www.wildberries.ru/catalog/136513754/detail.aspx?targetUrl=BP
50,"✅Поварской кованый нож-топорик 15 см серия ""Мексика""",7678319,60,3199,1279,AxWild,42988,813,5,https://www.wildberries.ru/catalog/7678319/detail.aspx?targetUrl=BP
