,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Леггинсы,27765179,60,3209,1283,KICKERS,503,8480,5,https://www.wildberries.ru/catalog/27765179/detail.aspx?targetUrl=BP
1,Лосины для беременных леггинсы бесшовные Кэндис,21677097,45,1999,1099,I love mum,3546,3515,5,https://www.wildberries.ru/catalog/21677097/detail.aspx?targetUrl=BP
2,Брюки женские утепленные оверсайз,47529828,30,4000,2800,365.SOWELL,429535,2124,5,https://www.wildberries.ru/catalog/47529828/detail.aspx?targetUrl=BP
3,Спортивные лосины леггинсы штаны,96760693,64,2030,730,L'Sporte,6130199,3326,5,https://www.wildberries.ru/catalog/96760693/detail.aspx?targetUrl=BP
4,Лосины спортивные,9659528,50,3750,1875,Эйфория,14586,5932,5,https://www.wildberries.ru/catalog/9659528/detail.aspx?targetUrl=BP
5,Леггинсы в рубчик лосины женские леггинсы спортивные,34771096,30,5100,3570,rely,332586,3573,5,https://www.wildberries.ru/catalog/34771096/detail.aspx?targetUrl=BP
6,✅ Брюки Mayer женские кожаные штаны клеш,99058666,54,7115,3272,Feelz,38457,329,4,https://www.wildberries.ru/catalog/99058666/detail.aspx?targetUrl=BP
7,Шорты кожаные короткие летние классические,57944490,38,3200,1984,CHERRY FASHION,107971,1496,5,https://www.wildberries.ru/catalog/57944490/detail.aspx?targetUrl=BP
8,⭐️ Брюки классические черные ⭐️,91302218,75,10000,2500,LUXTEX,600097,825,5,https://www.wildberries.ru/catalog/91302218/detail.aspx?targetUrl=BP
9,Брюки хлопковые широкие,13174194,47,2550,1351,Зари,30891,10131,5,https://www.wildberries.ru/catalog/13174194/detail.aspx?targetUrl=BP
10,Леггинсы женские лосины спортивные в рубчик пушап,114434546,45,4622,2542,Enix,93988,221,5,https://www.wildberries.ru/catalog/114434546/detail.aspx?targetUrl=BP
11,Леггинсы кожаные утепленные с начесом зима,119808190,73,2650,715,Im slim,170281,3424,4,https://www.wildberries.ru/catalog/119808190/detail.aspx?targetUrl=BP
12,Лосины женские спортивные с высокой посадкой леггинсы пуш ап,58274892,31,2350,1621,Mansen,42300,1465,5,https://www.wildberries.ru/catalog/58274892/detail.aspx?targetUrl=BP
13,"Леггинсы спортивные, лосины корсет",79504928,3,1762,1709,4Flex,1100971,1478,5,https://www.wildberries.ru/catalog/79504928/detail.aspx?targetUrl=BP
14,Леггинсы в рубчик лосины женские леггинсы спортивные,119987105,30,5100,3570,rely,332586,3573,5,https://www.wildberries.ru/catalog/119987105/detail.aspx?targetUrl=BP
15,Леггинсы женские спортивные Тайтсы,18481801,59,2785,1141,KICKERS,503,2910,5,https://www.wildberries.ru/catalog/18481801/detail.aspx?targetUrl=BP
16,Шорты кожаные женские оверсайз короткие,75030132,25,2266,1699,Beige Island,111669,1248,5,https://www.wildberries.ru/catalog/75030132/detail.aspx?targetUrl=BP
17,Леггинсы женские кожаные лосины с начесом утепленные экокожа,120704008,80,3700,740,Ocean by Denim,236192,1369,5,https://www.wildberries.ru/catalog/120704008/detail.aspx?targetUrl=BP
18,Брюки женские классические палаццо широкие штаны клеш офис,20989642,54,5000,2300,AIVA fashion,60848,2108,5,https://www.wildberries.ru/catalog/20989642/detail.aspx?targetUrl=BP
19,"Лосины ❄️ леггинсы со штрипками, спортивные",70712616,70,3626,1087,kirs shop,93134,1574,5,https://www.wildberries.ru/catalog/70712616/detail.aspx?targetUrl=BP
20,Черные брюки из мягкого трикотажа,30566008,48,1845,959,Новое кимоно,19856,5923,5,https://www.wildberries.ru/catalog/30566008/detail.aspx?targetUrl=BP
21,🔥 🔥 Леггинсы спортивные моделирующие,25605002,62,1790,680,Glam Woman,181192,2321,5,https://www.wildberries.ru/catalog/25605002/detail.aspx?targetUrl=BP
22,Леггинсы в рубчик спортивные утягивающие,115088486,50,1762,881,Mechtay,107393,2472,4,https://www.wildberries.ru/catalog/115088486/detail.aspx?targetUrl=BP
23,Леггинсы утепленные с мехом черные,17242438,66,2192,745,MozZzie,85266,1281,5,https://www.wildberries.ru/catalog/17242438/detail.aspx?targetUrl=BP
