,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Рубашка мужская оверсайз вельветовая с длинным рукавом,134508357,54,7570,3482,BULANTI,68500,172,5,https://www.wildberries.ru/catalog/134508357/detail.aspx?targetUrl=BP
1,Рубашка мужская оверсайз вельветовая с длинным рукавом,134508354,54,7570,3482,BULANTI,68500,172,5,https://www.wildberries.ru/catalog/134508354/detail.aspx?targetUrl=BP
2,"Рубашка мужская классическая приталенная, slim fit",12834448,25,5100,3825,KATARDI,76014,157,4,https://www.wildberries.ru/catalog/12834448/detail.aspx?targetUrl=BP
3,"Рубашка мужская классическая приталенная, slim fit",12834445,25,5100,3825,KATARDI,76014,157,4,https://www.wildberries.ru/catalog/12834445/detail.aspx?targetUrl=BP
4,Рубашка мужская оверсайз вельветовая с длинным рукавом,134508353,54,7570,3482,BULANTI,68500,172,5,https://www.wildberries.ru/catalog/134508353/detail.aspx?targetUrl=BP
5,"Рубашка мужская классическая приталенная, slim fit",12834446,25,5100,3825,KATARDI,76014,157,4,https://www.wildberries.ru/catalog/12834446/detail.aspx?targetUrl=BP
6,Рубашка Камис Джалябия Хадж,55971500,7,5250,4882,AL JUBBA,354624,16,5,https://www.wildberries.ru/catalog/55971500/detail.aspx?targetUrl=BP
7,Рубашка мужская оверсайз вельветовая,134739837,54,7440,3422,BULANTI,68500,22,5,https://www.wildberries.ru/catalog/134739837/detail.aspx?targetUrl=BP
8,Рубашка мужская большие размеры,101706937,57,6999,3009,KIDONLY,9734,25,4,https://www.wildberries.ru/catalog/101706937/detail.aspx?targetUrl=BP
9,"Рубашка мужская классическая приталенная, slim fit",34056709,25,5100,3825,KATARDI,76014,157,4,https://www.wildberries.ru/catalog/34056709/detail.aspx?targetUrl=BP
10,Хлопковая мужская рубашка длинные рукава,116518580,31,4450,3070,NINO PACOLI,21120,10,4,https://www.wildberries.ru/catalog/116518580/detail.aspx?targetUrl=BP
11,Мусульманская одежда. Рубашка. Камис,141181070,0,3500,3500,Libasa Sunna,541441,0,0,https://www.wildberries.ru/catalog/141181070/detail.aspx?targetUrl=BP
12,Рубашка мужская оверсайз вельветовая,134739835,54,7440,3422,BULANTI,68500,22,5,https://www.wildberries.ru/catalog/134739835/detail.aspx?targetUrl=BP
13,"Рубашка мужская классическая приталенная, slim fit",12834447,25,5100,3825,KATARDI,76014,157,4,https://www.wildberries.ru/catalog/12834447/detail.aspx?targetUrl=BP
14,Рубашка стрейч с воротом стойка,27447066,45,3750,2062,Caswera,150788,80,4,https://www.wildberries.ru/catalog/27447066/detail.aspx?targetUrl=BP
15,Рубашка мужская большие размеры,101714551,56,6999,3079,KIDONLY,9734,25,4,https://www.wildberries.ru/catalog/101714551/detail.aspx?targetUrl=BP
16,Рубашка мужская классическая синяя с длинным рукавом,64752201,49,2750,1402,Gouter,253569,86,4,https://www.wildberries.ru/catalog/64752201/detail.aspx?targetUrl=BP
17,Мусульманская одежда. Рубашка. Камис,141180950,0,3500,3500,Libasa Sunna,541441,0,0,https://www.wildberries.ru/catalog/141180950/detail.aspx?targetUrl=BP
18,Шапка-кепка мужская зимняя из меха нерпы,101004321,73,20200,5454,ANTIKA FURS,1486720,41,5,https://www.wildberries.ru/catalog/101004321/detail.aspx?targetUrl=BP
19,Шапка зимняя мужская вязаная бини осень,104639173,81,3900,741,Argentum Winter,37981186,4,5,https://www.wildberries.ru/catalog/104639173/detail.aspx?targetUrl=BP
20,Мужская тюбетейка татарская мусульманская,143197017,55,3500,1575,Kazan Hand Made,815032,1,5,https://www.wildberries.ru/catalog/143197017/detail.aspx?targetUrl=BP
21,Шапка зимняя мужская вязаная бини осень,105392231,81,3900,741,Argentum Winter,37981186,4,5,https://www.wildberries.ru/catalog/105392231/detail.aspx?targetUrl=BP
22,Халат накидка мусульманская,94910235,0,2300,2300,Libasa Sunna,541441,6,5,https://www.wildberries.ru/catalog/94910235/detail.aspx?targetUrl=BP
