,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Кеды,7165489,61,13780,5374,Lacoste,524,257,4,https://www.wildberries.ru/catalog/7165489/detail.aspx?targetUrl=BP
1,Кроссовки CHAYMON 120 4 CMA,11425394,61,13780,5374,Lacoste,524,58,4,https://www.wildberries.ru/catalog/11425394/detail.aspx?targetUrl=BP
2,Кеды,7165491,61,13780,5374,Lacoste,524,257,4,https://www.wildberries.ru/catalog/7165491/detail.aspx?targetUrl=BP
3,Кеды,20977918,60,13480,5392,Lacoste,524,41,4,https://www.wildberries.ru/catalog/20977918/detail.aspx?targetUrl=BP
4,Шлепанцы,141344043,0,3192,3192,Calvin Klein,154,48,4,https://www.wildberries.ru/catalog/141344043/detail.aspx?targetUrl=BP
5,Кроссовки,4133316,50,7180,3590,Lacoste,524,503,4,https://www.wildberries.ru/catalog/4133316/detail.aspx?targetUrl=BP
6,Кроссовки LT FIT 0120 1 SFA,14279643,75,13680,3420,Lacoste,524,41,3,https://www.wildberries.ru/catalog/14279643/detail.aspx?targetUrl=BP
7,Кроссовки LT FIT 0120 1 SFA,14279644,72,13680,3830,Lacoste,524,41,3,https://www.wildberries.ru/catalog/14279644/detail.aspx?targetUrl=BP
8,Кеды,7228303,75,9980,2495,Lacoste,524,111,4,https://www.wildberries.ru/catalog/7228303/detail.aspx?targetUrl=BP
9,Угги Cinched Fur Mini,10086454,70,17900,5370,UGG,14599,75,4,https://www.wildberries.ru/catalog/10086454/detail.aspx?targetUrl=BP
10,Кеды,7165445,61,8480,3307,Lacoste,524,50,4,https://www.wildberries.ru/catalog/7165445/detail.aspx?targetUrl=BP
11,Кеды COURTLINE 120 1 US CFA,12387627,71,15980,4634,Lacoste,524,78,4,https://www.wildberries.ru/catalog/12387627/detail.aspx?targetUrl=BP
12,Угги женские с натуральным мехом,137007285,33,7500,5025,UGG,14599,348,4,https://www.wildberries.ru/catalog/137007285/detail.aspx?targetUrl=BP
13,Слипоны,20977884,50,9480,4740,Lacoste,524,19,4,https://www.wildberries.ru/catalog/20977884/detail.aspx?targetUrl=BP
14,Кроссовки,113402672,39,9179,5599,TOMMY JEANS,20253,10,5,https://www.wildberries.ru/catalog/113402672/detail.aspx?targetUrl=BP
15,Угги женские с натуральным мехом,137190083,30,7500,5250,UGG,14599,348,4,https://www.wildberries.ru/catalog/137190083/detail.aspx?targetUrl=BP
16,Кеды,11625985,61,12980,5062,Lacoste,524,46,3,https://www.wildberries.ru/catalog/11625985/detail.aspx?targetUrl=BP
17,Кроссовки,7165499,73,9980,2694,Lacoste,524,39,4,https://www.wildberries.ru/catalog/7165499/detail.aspx?targetUrl=BP
18,Кроссовки MASTERS CUP 120 4 SFA,12491052,61,12980,5062,Lacoste,524,104,4,https://www.wildberries.ru/catalog/12491052/detail.aspx?targetUrl=BP
19,Кеды CARNABY EVO 0120 5 SMA,14279659,69,13480,4178,Lacoste,524,67,4,https://www.wildberries.ru/catalog/14279659/detail.aspx?targetUrl=BP
20,Кроссовки LT SENSE 0320 1 SFA,14279630,65,14980,5243,Lacoste,524,69,5,https://www.wildberries.ru/catalog/14279630/detail.aspx?targetUrl=BP
21,Кроссовки REY SPORT 120 1 CFA,11129893,71,12480,3619,Lacoste,524,34,4,https://www.wildberries.ru/catalog/11129893/detail.aspx?targetUrl=BP
22,Кеды,20977896,50,11480,5740,Lacoste,524,32,4,https://www.wildberries.ru/catalog/20977896/detail.aspx?targetUrl=BP
23,Сандалии,76546315,63,9253,3423,Calvin Klein,154,23,3,https://www.wildberries.ru/catalog/76546315/detail.aspx?targetUrl=BP
24,Кроссовки LT FIT 120 1 SFA,11626014,71,12480,3619,Lacoste,524,58,4,https://www.wildberries.ru/catalog/11626014/detail.aspx?targetUrl=BP
25,Кроссовки,38418825,58,12980,5451,Lacoste,524,7,3,https://www.wildberries.ru/catalog/38418825/detail.aspx?targetUrl=BP
26,Кроссовки THRILL PRM 120 1 US SFA,12387963,61,12980,5062,Lacoste,524,34,4,https://www.wildberries.ru/catalog/12387963/detail.aspx?targetUrl=BP
27,Кеды LANCELLE BL 1 SPW,11625973,50,12280,6140,Lacoste,524,64,4,https://www.wildberries.ru/catalog/11625973/detail.aspx?targetUrl=BP
28,Кеды LEROND 120 1 CUC,11626013,61,5980,2332,Lacoste,524,42,5,https://www.wildberries.ru/catalog/11626013/detail.aspx?targetUrl=BP
29,Шлепанцы,142365188,0,3992,3992,Tommy Hilfiger,1876,1,5,https://www.wildberries.ru/catalog/142365188/detail.aspx?targetUrl=BP
30,Ботинки,31081098,62,11990,4556,GUESS,398,22,4,https://www.wildberries.ru/catalog/31081098/detail.aspx?targetUrl=BP
31,Кроссовки,38418844,58,14480,6081,Lacoste,524,25,3,https://www.wildberries.ru/catalog/38418844/detail.aspx?targetUrl=BP
32,Кроссовки,7165428,75,14980,3745,Lacoste,524,29,4,https://www.wildberries.ru/catalog/7165428/detail.aspx?targetUrl=BP
33,Ботинки,27387318,65,11990,4196,GUESS,398,12,3,https://www.wildberries.ru/catalog/27387318/detail.aspx?targetUrl=BP
34,Сникеры,7165420,73,12980,3504,Lacoste,524,53,4,https://www.wildberries.ru/catalog/7165420/detail.aspx?targetUrl=BP
35,Кеды,44511431,58,13480,5661,Lacoste,524,28,4,https://www.wildberries.ru/catalog/44511431/detail.aspx?targetUrl=BP
36,Кроссовки THRILL 220 1 SFA,12180027,61,11980,4672,Lacoste,524,31,4,https://www.wildberries.ru/catalog/12180027/detail.aspx?targetUrl=BP
37,Кроссовки LT SENSE 0320 1 SFA,14279628,63,14980,5542,Lacoste,524,69,5,https://www.wildberries.ru/catalog/14279628/detail.aspx?targetUrl=BP
38,Кроссовки COURTPOINT 120 1 SFA,11934616,71,16480,4779,Lacoste,524,7,4,https://www.wildberries.ru/catalog/11934616/detail.aspx?targetUrl=BP
39,Слипоны,20977883,50,9480,4740,Lacoste,524,19,4,https://www.wildberries.ru/catalog/20977883/detail.aspx?targetUrl=BP
40,Кроссовки THRILL PRM 120 1 US SFA,12180025,61,12980,5062,Lacoste,524,34,4,https://www.wildberries.ru/catalog/12180025/detail.aspx?targetUrl=BP
41,Кеды COURT-MASTER 120 2 CUC,12387631,61,5980,2332,Lacoste,524,31,5,https://www.wildberries.ru/catalog/12387631/detail.aspx?targetUrl=BP
42,Кеды,39640601,58,15080,6333,Lacoste,524,4,2,https://www.wildberries.ru/catalog/39640601/detail.aspx?targetUrl=BP
43,Кроссовки,4133315,50,9180,4590,Lacoste,524,503,4,https://www.wildberries.ru/catalog/4133315/detail.aspx?targetUrl=BP
44,Кеды LEROND 120 1 CFA,11626199,61,10480,4087,Lacoste,524,86,4,https://www.wildberries.ru/catalog/11626199/detail.aspx?targetUrl=BP
45,Кроссовки,10498716,47,12000,6360,GUESS,398,22,4,https://www.wildberries.ru/catalog/10498716/detail.aspx?targetUrl=BP
46,Кеды,7165442,75,11480,2870,Lacoste,524,56,4,https://www.wildberries.ru/catalog/7165442/detail.aspx?targetUrl=BP
47,Кеды,19791916,50,11480,5740,Lacoste,524,49,3,https://www.wildberries.ru/catalog/19791916/detail.aspx?targetUrl=BP
48,Кроссовки HAPONA 120 2 CFA,11324664,61,13980,5452,Lacoste,524,25,5,https://www.wildberries.ru/catalog/11324664/detail.aspx?targetUrl=BP
49,Ботинки,53205912,58,11690,4909,GUESS,398,23,4,https://www.wildberries.ru/catalog/53205912/detail.aspx?targetUrl=BP
50,Шлепанцы CROCO CROSS STRAP 1201CFA,11425262,61,5480,2137,Lacoste,524,73,4,https://www.wildberries.ru/catalog/11425262/detail.aspx?targetUrl=BP
51,Ботинки,30419120,62,8990,3416,GUESS,398,8,3,https://www.wildberries.ru/catalog/30419120/detail.aspx?targetUrl=BP
52,Угги женские зимние из натуральной овчины ярких цветов,139672791,66,17600,5984,UGG Australia,3287,11,3,https://www.wildberries.ru/catalog/139672791/detail.aspx?targetUrl=BP
53,Кроссовки LT FIT 120 1 SFA,12180093,61,12480,4867,Lacoste,524,58,4,https://www.wildberries.ru/catalog/12180093/detail.aspx?targetUrl=BP
54,Ботильоны на высоком каблуке осенние,101691663,62,12290,4670,JUST COUTURE,2301,1,5,https://www.wildberries.ru/catalog/101691663/detail.aspx?targetUrl=BP
55,Шлепанцы,23121458,62,16490,6266,ASH,1818,5,5,https://www.wildberries.ru/catalog/23121458/detail.aspx?targetUrl=BP
56,Кроссовки,97728631,39,10289,6276,Calvin Klein,154,2,3,https://www.wildberries.ru/catalog/97728631/detail.aspx?targetUrl=BP
57,Кеды,39640619,58,11380,4779,Lacoste,524,12,3,https://www.wildberries.ru/catalog/39640619/detail.aspx?targetUrl=BP
58,Кроссовки REY SPORT 120 2 CFA,12076320,61,12480,4867,Lacoste,524,36,4,https://www.wildberries.ru/catalog/12076320/detail.aspx?targetUrl=BP
59,Кеды LEROND 220 1 CUC,12298154,61,5980,2332,Lacoste,524,22,4,https://www.wildberries.ru/catalog/12298154/detail.aspx?targetUrl=BP
60,Кеды,39640582,58,14580,6123,Lacoste,524,12,4,https://www.wildberries.ru/catalog/39640582/detail.aspx?targetUrl=BP
61,Кеды COURT-MASTER 120 1 CUC,12298148,61,5980,2332,Lacoste,524,7,4,https://www.wildberries.ru/catalog/12298148/detail.aspx?targetUrl=BP
62,Ботинки,101848406,62,12090,4594,JUST COUTURE,2301,5,4,https://www.wildberries.ru/catalog/101848406/detail.aspx?targetUrl=BP
63,Ботинки с натуральным мехом,102342197,62,15990,6076,JUST COUTURE,2301,2,5,https://www.wildberries.ru/catalog/102342197/detail.aspx?targetUrl=BP
64,Кеды BALSA 0320 2 SFA,14279646,64,17680,6364,Lacoste,524,21,4,https://www.wildberries.ru/catalog/14279646/detail.aspx?targetUrl=BP
65,Кроссовки CHAYMON CLUB 120 3 CMA,11324667,71,14480,4199,Lacoste,524,8,4,https://www.wildberries.ru/catalog/11324667/detail.aspx?targetUrl=BP
66,Кеды,27577455,63,12190,4510,Colmar,4407,8,5,https://www.wildberries.ru/catalog/27577455/detail.aspx?targetUrl=BP
67,Туфли,27387345,65,13990,4896,GUESS,398,3,1,https://www.wildberries.ru/catalog/27387345/detail.aspx?targetUrl=BP
68,Кроссовки LT DASH 120 1 SUC,11995550,61,6980,2722,Lacoste,524,18,5,https://www.wildberries.ru/catalog/11995550/detail.aspx?targetUrl=BP
69,Кеды,9469906,70,11480,3444,Lacoste,524,34,4,https://www.wildberries.ru/catalog/9469906/detail.aspx?targetUrl=BP
70,Кроссовки HAPONA 120 3 CFA,11324666,71,13980,4054,Lacoste,524,15,5,https://www.wildberries.ru/catalog/11324666/detail.aspx?targetUrl=BP
71,Угги женские зимние из натуральной овчины ярких цветов,139672792,66,17600,5984,UGG Australia,3287,11,3,https://www.wildberries.ru/catalog/139672792/detail.aspx?targetUrl=BP
72,Ботинки челси,101848416,62,11490,4366,JUST COUTURE,2301,6,4,https://www.wildberries.ru/catalog/101848416/detail.aspx?targetUrl=BP
73,Ботинки,49630826,58,14990,6295,GUESS,398,4,3,https://www.wildberries.ru/catalog/49630826/detail.aspx?targetUrl=BP
74,Слипоны на овчине зимние угги тапочки из кожи,99137358,71,14500,4205,UGG Australia,3287,19,3,https://www.wildberries.ru/catalog/99137358/detail.aspx?targetUrl=BP
