,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Кигуруми Стич Stitch для девочек пижама для дома подарок,39485723,73,5119,1382,Кигурята,359104,6778,5,https://www.wildberries.ru/catalog/39485723/detail.aspx?targetUrl=BP
1,брюки школьные для девочки клеш,96407344,0,1680,1680,YELLOW FISH,617636,850,5,https://www.wildberries.ru/catalog/96407344/detail.aspx?targetUrl=BP
2,Брюки для мальчика девочки комплект 3 шт,139340031,40,1850,1110,puZZiki.,65980,1549,5,https://www.wildberries.ru/catalog/139340031/detail.aspx?targetUrl=BP
3,Кигуруми для девочек Пикачу Pikachu пижама покемон для дома,93096456,74,5010,1302,Кигурята,359104,6778,5,https://www.wildberries.ru/catalog/93096456/detail.aspx?targetUrl=BP
4,Свитер вязаный для девочки свободный оверсайз джемпер,128124115,50,3466,1733,Joli KIDS,2675223,251,5,https://www.wildberries.ru/catalog/128124115/detail.aspx?targetUrl=BP
5,брюки школьные для девочки клеш,134070979,0,1680,1680,YELLOW FISH,617636,850,5,https://www.wildberries.ru/catalog/134070979/detail.aspx?targetUrl=BP
6,Брюки для мальчика и девочки спортивные штаны комплект 3 шт,81269305,40,1550,930,puZZiki.,65980,1549,5,https://www.wildberries.ru/catalog/81269305/detail.aspx?targetUrl=BP
7,Халат,26433054,30,2150,1505,HAPPY FISH,808444,809,5,https://www.wildberries.ru/catalog/26433054/detail.aspx?targetUrl=BP
8,Кигуруми для мальчиков Кунг-фу Панда Kung Fu Panda для дома,95467417,73,5250,1417,Кигурята,359104,6778,5,https://www.wildberries.ru/catalog/95467417/detail.aspx?targetUrl=BP
9,Леггинсы комплект из 3 шт,21533828,10,1899,1709,BabyBunny,26625,2040,5,https://www.wildberries.ru/catalog/21533828/detail.aspx?targetUrl=BP
10,Кардиган вязанный теплый,140517278,45,6000,3300,BidsKids,310456705,47,5,https://www.wildberries.ru/catalog/140517278/detail.aspx?targetUrl=BP
11,Платье для девочки нарядное праздничное,28673287,30,7392,5174,Foxy-studio,120821,575,5,https://www.wildberries.ru/catalog/28673287/detail.aspx?targetUrl=BP
12,Брюки школьные,84377994,59,4000,1640,R.A.M. children,1280259,1553,5,https://www.wildberries.ru/catalog/84377994/detail.aspx?targetUrl=BP
13,Платье для девочки в садик длинный рукав,23797977,52,1599,767,SOVAlina,45628,5140,5,https://www.wildberries.ru/catalog/23797977/detail.aspx?targetUrl=BP
14,Кардиган вязаный для девочки на пуговицах джемпер кофта,47532037,45,3750,2062,HammuDi,218684,1343,5,https://www.wildberries.ru/catalog/47532037/detail.aspx?targetUrl=BP
