,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Фильтр для аквариума FAN FILTER MINI plus (30 - 60 л),47871065,15,1720,1462,AQUAEL,75006,601,5,https://www.wildberries.ru/catalog/47871065/detail.aspx?targetUrl=BP
1,Фильтр для аквариума FAN FILTER 1 plus (60 - 100 л),47885976,15,1999,1699,AQUAEL,75006,601,5,https://www.wildberries.ru/catalog/47885976/detail.aspx?targetUrl=BP
2,Фильтр для аквариума FAN FILTER MIKRO plus (до 30 литров),40895435,15,1660,1411,AQUAEL,75006,601,5,https://www.wildberries.ru/catalog/40895435/detail.aspx?targetUrl=BP
3,Фильтр для аквариума FAN FILTER 3 plus (150 - 250 л),47893386,15,3240,2754,AQUAEL,75006,601,5,https://www.wildberries.ru/catalog/47893386/detail.aspx?targetUrl=BP
4,"Фильтр для аквариума погружной до 30 л, 60 л, 120 л, 200 л",91156221,51,1155,565,Аквафишка,344466,343,4,https://www.wildberries.ru/catalog/91156221/detail.aspx?targetUrl=BP
5,Фильтр для аквариума FAN FILTER 2 plus (100 - 150 л),47892421,15,2451,2083,AQUAEL,75006,601,5,https://www.wildberries.ru/catalog/47892421/detail.aspx?targetUrl=BP
6,"Светильник для аквариума, универсальный, подсветка",53900917,0,580,580,BARBUS,63529,1602,5,https://www.wildberries.ru/catalog/53900917/detail.aspx?targetUrl=BP
7,"Фильтр для аквариума PAT FILTER MINI (до 120 л, 400 л ч)",47894789,15,1598,1358,AQUAEL,75006,96,5,https://www.wildberries.ru/catalog/47894789/detail.aspx?targetUrl=BP
8,Фильтр для аквариума с аэрацией,120854782,10,1790,1611,Hose,213442,259,5,https://www.wildberries.ru/catalog/120854782/detail.aspx?targetUrl=BP
9,"Фильтр для аквариума TURBO FILTER 500 (до 150 л, 500 л ч)",47895716,15,2660,2261,AQUAEL,75006,83,5,https://www.wildberries.ru/catalog/47895716/detail.aspx?targetUrl=BP
10,"Аксессуары для аквариума, подсветка, светильник на присоске",42177403,43,1579,900,Zoomart,145322,101,5,https://www.wildberries.ru/catalog/42177403/detail.aspx?targetUrl=BP
11,Cветильник для аквариума лампа для аквариума диодный,61243391,66,3000,1020,IRV,854987,294,5,https://www.wildberries.ru/catalog/61243391/detail.aspx?targetUrl=BP
12,"Фильтр для аквариума внутренний, бесшумная фильтрация воды",137669720,73,2199,593,ZOO´LAND,29318771,54,4,https://www.wildberries.ru/catalog/137669720/detail.aspx?targetUrl=BP
13,"фильтр для аквариума VERSAMAX mini (10 - 40 л, 230 л ч)",12708823,15,1859,1580,AQUAEL,75006,141,4,https://www.wildberries.ru/catalog/12708823/detail.aspx?targetUrl=BP
14,"Фильтр для аквариума ASAP FILTER 300 (до 100 л, 300 л ч)",12708824,15,1558,1324,AQUAEL,75006,213,4,https://www.wildberries.ru/catalog/12708824/detail.aspx?targetUrl=BP
15,"фильтр для аквариума VERSAMAX 3 (80 - 300 л, 1200 л ч)",13176219,15,4654,3955,AQUAEL,75006,141,4,https://www.wildberries.ru/catalog/13176219/detail.aspx?targetUrl=BP
16,"Фильтр для аквариума TURBO FILTER 1000 (150-250 л, 1000 л ч)",47896413,15,3914,3326,AQUAEL,75006,83,5,https://www.wildberries.ru/catalog/47896413/detail.aspx?targetUrl=BP
17,"Насос для поилки фонтана, помпа для аквариума, моторчик",43073718,53,1200,564,aboutZoo,232133,69,4,https://www.wildberries.ru/catalog/43073718/detail.aspx?targetUrl=BP
18,"Фильтр для аквариума TURBO FILTER 2000 (350-500 л, 2000 л ч)",47897950,15,5199,4419,AQUAEL,75006,83,5,https://www.wildberries.ru/catalog/47897950/detail.aspx?targetUrl=BP
19,"Фильтр для аквариума, внутренний с аэратором и флейтой",12570729,20,660,528,BARBUS,63529,3423,4,https://www.wildberries.ru/catalog/12570729/detail.aspx?targetUrl=BP
20,Светильник для аквариума,30245758,66,5125,1742,MagicLight,58688,40,4,https://www.wildberries.ru/catalog/30245758/detail.aspx?targetUrl=BP
21,Нагреватель для аквариума PLATINIUM HEATER 50 Вт,48063252,15,1794,1524,AQUAEL,75006,76,4,https://www.wildberries.ru/catalog/48063252/detail.aspx?targetUrl=BP
22,"нагреватель для аквариума ULTRA HEATER 100 Вт (60 - 100 л, п…",12708834,15,3107,2640,AQUAEL,75006,21,4,https://www.wildberries.ru/catalog/12708834/detail.aspx?targetUrl=BP
23,"Насос фонтана поилки DR-DC160 5V-1,5W",41539652,60,1518,607,Pets Priority,685635,54,5,https://www.wildberries.ru/catalog/41539652/detail.aspx?targetUrl=BP
24,"компрессор OXYBOOST 300 plus, 2 канала, регулируемый",12708822,15,1999,1699,AQUAEL,75006,86,4,https://www.wildberries.ru/catalog/12708822/detail.aspx?targetUrl=BP
25,Нагреватель для аквариума PLATINIUM HEATER 100 Вт,48064503,15,1905,1619,AQUAEL,75006,76,4,https://www.wildberries.ru/catalog/48064503/detail.aspx?targetUrl=BP
26,Нагреватель для аквариума PLATINIUM HEATER 150 Вт,48065074,15,2022,1718,AQUAEL,75006,76,4,https://www.wildberries.ru/catalog/48065074/detail.aspx?targetUrl=BP
27,Нагреватель для аквариума PLATINIUM HEATER 25,47905312,15,1784,1516,AQUAEL,75006,76,4,https://www.wildberries.ru/catalog/47905312/detail.aspx?targetUrl=BP
28,Фильтр для аквариума БИО-КОМПЛЕКС,124431929,33,1343,899,BARBUS,63529,61,4,https://www.wildberries.ru/catalog/124431929/detail.aspx?targetUrl=BP
29,LED-светильник+распылитель с ПУ,137510200,29,2535,1799,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/137510200/detail.aspx?targetUrl=BP
30,Фильтр навесной ВОДОПАД для аквариума,124146161,34,1484,979,BARBUS,63529,37,4,https://www.wildberries.ru/catalog/124146161/detail.aspx?targetUrl=BP
31,"Фильтр для аквариума ASAP FILTER 500 (50 - 150 л, 500 л ч)",12708825,15,2061,1751,AQUAEL,75006,213,4,https://www.wildberries.ru/catalog/12708825/detail.aspx?targetUrl=BP
32,Нагреватель для аквариума обогреватель,116936933,25,970,727,inakva,212898,115,4,https://www.wildberries.ru/catalog/116936933/detail.aspx?targetUrl=BP
33,Светильник для аквариума светодиодный лампа свет аквариумный,45453484,0,1450,1450,inakva,212898,70,5,https://www.wildberries.ru/catalog/45453484/detail.aspx?targetUrl=BP
34,Нагреватель для аквариума PLATINIUM HEATER 200 Вт,48065641,15,2123,1804,AQUAEL,75006,76,4,https://www.wildberries.ru/catalog/48065641/detail.aspx?targetUrl=BP
35,Фильтр внутренний для аквариума,96806203,58,1700,714,Аквафишка,344466,24,5,https://www.wildberries.ru/catalog/96806203/detail.aspx?targetUrl=BP
36,Светильник для аквариума лампа,39864949,93,13500,945,Detalka.ru,157333,47,5,https://www.wildberries.ru/catalog/39864949/detail.aspx?targetUrl=BP
37,Нагреватель AN-200 Вт для аквариума 200 - 250 л,72135934,15,909,772,Aqua Reef,153948,34,4,https://www.wildberries.ru/catalog/72135934/detail.aspx?targetUrl=BP
38,Нагреватель для аквариума PLATINIUM HEATER 75 Вт,48063713,15,1809,1537,AQUAEL,75006,76,4,https://www.wildberries.ru/catalog/48063713/detail.aspx?targetUrl=BP
39,Светодиодный светильник,137524324,29,2422,1719,BARBUS,63529,9,4,https://www.wildberries.ru/catalog/137524324/detail.aspx?targetUrl=BP
40,Компрессор воздушный для аквариума,123888881,34,1484,979,BARBUS,63529,44,4,https://www.wildberries.ru/catalog/123888881/detail.aspx?targetUrl=BP
41,"компрессор воздушный MINIBOOST 100, 1 канал, регулируемый",12709594,15,1091,927,AQUAEL,75006,97,4,https://www.wildberries.ru/catalog/12709594/detail.aspx?targetUrl=BP
42,Насадка дождик (флейта) mini для аквариумных фильтров и помп,12709581,15,893,759,AQUAEL,75006,144,4,https://www.wildberries.ru/catalog/12709581/detail.aspx?targetUrl=BP
43,Нагреватель AN-50 Вт для аквариума 40 - 70 л,72134682,15,809,687,Aqua Reef,153948,34,4,https://www.wildberries.ru/catalog/72134682/detail.aspx?targetUrl=BP
44,Фильтр навесной ВОДОПАД для аквариума,124144899,37,2380,1499,BARBUS,63529,37,4,https://www.wildberries.ru/catalog/124144899/detail.aspx?targetUrl=BP
45,Нагреватель для аквариума обогреватель,15612452,20,990,792,inakva,212898,115,4,https://www.wildberries.ru/catalog/15612452/detail.aspx?targetUrl=BP
46,Шланг силиконовый прозрачный 4x6 мм 5 м,40501400,20,860,688,Профитт,84307,0,0,https://www.wildberries.ru/catalog/40501400/detail.aspx?targetUrl=BP
47,Фильтр WHITE POWER стаканный тип,109523163,34,1757,1159,BARBUS,63529,108,5,https://www.wildberries.ru/catalog/109523163/detail.aspx?targetUrl=BP
48,"Универсальный светодиодный светильник МИКС 60см 10,8ватт",13320433,0,980,980,BARBUS,63529,1115,4,https://www.wildberries.ru/catalog/13320433/detail.aspx?targetUrl=BP
49,Сменный насос помпа для поилки фонтан,96936905,43,899,512,GURSKIY Pets,290771,41,5,https://www.wildberries.ru/catalog/96936905/detail.aspx?targetUrl=BP
50,Светильник 42см для аквариума погружной,124468904,36,2030,1299,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/124468904/detail.aspx?targetUrl=BP
51,Наполнитель для аквариумных фильтров ZEOMAX PLUS (1 л),12708803,15,864,734,AQUAEL,75006,17,5,https://www.wildberries.ru/catalog/12708803/detail.aspx?targetUrl=BP
52,Светильник на прищепке гибкий штатив Е27,88598767,51,1410,690,T&D HOME,355892,87,5,https://www.wildberries.ru/catalog/88598767/detail.aspx?targetUrl=BP
53,Шланг силиконовый 12 мм пищевой,109433850,0,799,799,Домашний винокур,814656,10,5,https://www.wildberries.ru/catalog/109433850/detail.aspx?targetUrl=BP
54,"Фильтр для аквариума ASAP FILTER 700 (100 - 250 л, 650 л ч)",12708826,15,2379,2022,AQUAEL,75006,213,4,https://www.wildberries.ru/catalog/12708826/detail.aspx?targetUrl=BP
55,Светильник 35см для аквариума погружной с ПУ,122255242,38,2741,1699,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/122255242/detail.aspx?targetUrl=BP
56,Сменный насос помпа для поилки фонтан,104252085,48,999,519,GURSKIY Pets,290771,41,5,https://www.wildberries.ru/catalog/104252085/detail.aspx?targetUrl=BP
57,Светильник для аквариума 50 см,35906558,30,1194,835,KW Zone,89129,45,3,https://www.wildberries.ru/catalog/35906558/detail.aspx?targetUrl=BP
58,Губка сменная для фильтра FAN FILTER 3 plus,12709583,15,688,584,AQUAEL,75006,171,5,https://www.wildberries.ru/catalog/12709583/detail.aspx?targetUrl=BP
59,Фильтр Угловой Секционный 400л ч 8ватт до 60 л,124074932,36,2030,1299,BARBUS,63529,186,5,https://www.wildberries.ru/catalog/124074932/detail.aspx?targetUrl=BP
60,"Лампа для аквариума, освещение, разноцветная подсветка пузыр…",110001981,10,1854,1668,CANMEIJIA,1347207,5,3,https://www.wildberries.ru/catalog/110001981/detail.aspx?targetUrl=BP
61,Светильник 35см для аквариума погружной,124468903,35,1661,1079,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/124468903/detail.aspx?targetUrl=BP
62,Светильник 35см для аквариума погружной,124468900,35,1661,1079,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/124468900/detail.aspx?targetUrl=BP
63,Компрессор IDEAL 150л ч для аквариумов до 200 литров,14939764,49,6102,3112,SCHEGO,94128,1,5,https://www.wildberries.ru/catalog/14939764/detail.aspx?targetUrl=BP
64,Компрессор для аквариума,28825100,36,897,574,Atman,228339,3,4,https://www.wildberries.ru/catalog/28825100/detail.aspx?targetUrl=BP
65,Шланг силиконовый прозрачный 10x14 мм 3,40501405,5,1611,1530,Профитт,84307,4,5,https://www.wildberries.ru/catalog/40501405/detail.aspx?targetUrl=BP
66,Нагреватель AN-100 Вт для аквариума 100 - 150 л,72135563,15,859,730,Aqua Reef,153948,34,4,https://www.wildberries.ru/catalog/72135563/detail.aspx?targetUrl=BP
67,Светодиодный светильник,137524323,29,3070,2179,BARBUS,63529,9,4,https://www.wildberries.ru/catalog/137524323/detail.aspx?targetUrl=BP
68,Шланг силиконовый 4 мм пищевой,109339652,50,1158,579,i-k,916265,0,0,https://www.wildberries.ru/catalog/109339652/detail.aspx?targetUrl=BP
69,"Фильтр для аквариума ASAP FILTER 700(100-250л,),внутренний",134048466,34,2791,1842,AQUAEL,75006,0,0,https://www.wildberries.ru/catalog/134048466/detail.aspx?targetUrl=BP
70,Фильтр для аквариума,49988080,18,2940,2410,Sera,77575,0,0,https://www.wildberries.ru/catalog/49988080/detail.aspx?targetUrl=BP
71,Компрессор для аквариума,28816701,38,1254,777,Boyu,83948,4,4,https://www.wildberries.ru/catalog/28816701/detail.aspx?targetUrl=BP
72,25 W терморегулятор для аквариума до 30 литров,14234632,49,2530,1290,Dophin,90635,9,4,https://www.wildberries.ru/catalog/14234632/detail.aspx?targetUrl=BP
73,Светильник 25см для аквариума погружной с ПУ,122254994,37,2380,1499,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/122254994/detail.aspx?targetUrl=BP
74,Светильник для аквариума розовый 30см,51605778,17,900,747,KWaquatic,642795,31,5,https://www.wildberries.ru/catalog/51605778/detail.aspx?targetUrl=BP
75,Светильник для аквариума 60 см,95228799,30,1400,980,KWaquatic,642795,13,3,https://www.wildberries.ru/catalog/95228799/detail.aspx?targetUrl=BP
76,Светильник 27см для аквариума погружной,124468902,34,1484,979,BARBUS,63529,76,4,https://www.wildberries.ru/catalog/124468902/detail.aspx?targetUrl=BP
77,Лампа для аквариума регулируемая ширина 38-51 см,87149366,10,2320,2088,Hitec,820941,3,5,https://www.wildberries.ru/catalog/87149366/detail.aspx?targetUrl=BP
78,Наполнитель для аквариумных фильтров 3.3л,30387896,22,777,606,AquaStones,301390,17,5,https://www.wildberries.ru/catalog/30387896/detail.aspx?targetUrl=BP
79,Губка сменная для фильтра TURBO FILTER 500 крупнопористая,12709588,15,599,509,AQUAEL,75006,20,4,https://www.wildberries.ru/catalog/12709588/detail.aspx?targetUrl=BP
80,Фильтр для аквариума,35894144,27,1050,766,Dophin,90635,0,0,https://www.wildberries.ru/catalog/35894144/detail.aspx?targetUrl=BP
81,Лампа для аквариума регулируемая ширина 28 - 41 см,87145862,10,2120,1908,Hitec,820941,4,5,https://www.wildberries.ru/catalog/87145862/detail.aspx?targetUrl=BP
82,"Фильтр для аквариума AF-400 (30-40 л, 400 л ч, 5 Вт)",87671861,15,936,795,Aqua Reef,153948,16,3,https://www.wildberries.ru/catalog/87671861/detail.aspx?targetUrl=BP
83,Лампа для аквариума регулируемая 58-71см,87149379,10,2854,2568,Hitec,820941,8,5,https://www.wildberries.ru/catalog/87149379/detail.aspx?targetUrl=BP
84,Шланг силиконовый прозрачн. 12x16 мм 3 м,40501401,20,2595,2076,Профитт,84307,4,5,https://www.wildberries.ru/catalog/40501401/detail.aspx?targetUrl=BP
