,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,Набор для создания браслетов Бижутерия Подарок для девочки,33666305,54,3144,1446,kiddiboom,210263,3277,5,https://www.wildberries.ru/catalog/33666305/detail.aspx?targetUrl=BP
1,Набор для создания браслетов Бижутерия Подарок для девочки,40797966,65,4698,1644,kiddiboom,210263,3277,5,https://www.wildberries.ru/catalog/40797966/detail.aspx?targetUrl=BP
2,Шарф,117651432,82,4815,866,PINK TIGER,293949,1574,5,https://www.wildberries.ru/catalog/117651432/detail.aspx?targetUrl=BP
3,Набор для создания браслетов Бижутерия Подарок для девочки,38168412,65,3080,1078,kiddiboom,210263,3082,5,https://www.wildberries.ru/catalog/38168412/detail.aspx?targetUrl=BP
4,Набор для создания браслетов Бижутерия Подарок для девочки,26594094,67,3267,1078,kiddiboom,210263,3082,5,https://www.wildberries.ru/catalog/26594094/detail.aspx?targetUrl=BP
5,Набор для создания браслетов бижутерия,113274969,60,3747,1498,Мой Зайчонок,1284959,294,5,https://www.wildberries.ru/catalog/113274969/detail.aspx?targetUrl=BP
6,Набор для создания браслетов новые украшения для девочек,47551546,49,1961,1000,BOOMkids,1310292,1542,5,https://www.wildberries.ru/catalog/47551546/detail.aspx?targetUrl=BP
7,Набор для создания браслетов + ожерелий Подарок для девочки,69224702,63,4285,1585,BERIMAMA,310422455,1228,5,https://www.wildberries.ru/catalog/69224702/detail.aspx?targetUrl=BP
8,Браслет подарок девочке набор бижутерия,77365063,53,2805,1318,RADYGA,352393,492,5,https://www.wildberries.ru/catalog/77365063/detail.aspx?targetUrl=BP
9,Набор для создания украшений браслетов подарок для девочек,68487799,73,10200,2754,Sea Shelll,1048012,152,5,https://www.wildberries.ru/catalog/68487799/detail.aspx?targetUrl=BP
10,Набор для создания браслетов + ожерелий Подарок для девочки,37134611,63,4224,1562,BERIMAMA,310422455,2220,5,https://www.wildberries.ru/catalog/37134611/detail.aspx?targetUrl=BP
11,Набор для создания браслетов Бижутерия,38579127,75,3988,997,lunoo,41568,518,5,https://www.wildberries.ru/catalog/38579127/detail.aspx?targetUrl=BP
12,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",16486845,63,1990,736,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/16486845/detail.aspx?targetUrl=BP
13,🦄Набор для создания браслетов для девочек Бижутерия Подарок,24674216,71,4530,1313,Nraviza,210341,1322,5,https://www.wildberries.ru/catalog/24674216/detail.aspx?targetUrl=BP
14,Набор для создания браслетов Подарок для девочек,136880205,71,5900,1711,kiddiboom,210263,339,5,https://www.wildberries.ru/catalog/136880205/detail.aspx?targetUrl=BP
15,"Набор для создания браслетов для девочек, 182 элементов",109673107,59,3550,1455,Healthy Toys,514301,154,5,https://www.wildberries.ru/catalog/109673107/detail.aspx?targetUrl=BP
16,Шарф женский теплый большой вязаный длинный широкий модный,133808022,80,5000,1000,PURGATOIRE,51536693,831,5,https://www.wildberries.ru/catalog/133808022/detail.aspx?targetUrl=BP
17,Набор для создания браслетов Бижутерия Подарок девушке,68059228,60,3490,1396,kiddiboom,210263,3277,5,https://www.wildberries.ru/catalog/68059228/detail.aspx?targetUrl=BP
18,Набор для создания браслетов Бижутерия Подарок для девочки,40797967,64,3042,1095,kiddiboom,210263,3277,5,https://www.wildberries.ru/catalog/40797967/detail.aspx?targetUrl=BP
19,Набор для создания браслетов новые украшения для девочек,120262938,65,2857,999,BOOMkids,1310292,1542,5,https://www.wildberries.ru/catalog/120262938/detail.aspx?targetUrl=BP
20,Шарф женский теплый большой вязаный длинный широкий модный,133808440,80,5000,1000,PURGATOIRE,51536693,831,5,https://www.wildberries.ru/catalog/133808440/detail.aspx?targetUrl=BP
21,"Браслет для девочек, Набор браслетов",46852587,80,8000,1600,Quplet jewelry,604475,1571,5,https://www.wildberries.ru/catalog/46852587/detail.aspx?targetUrl=BP
22,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",16212855,63,1990,736,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/16212855/detail.aspx?targetUrl=BP
23,Набор для создания браслетов Бижутерия,38579548,65,3051,1067,lunoo,41568,518,5,https://www.wildberries.ru/catalog/38579548/detail.aspx?targetUrl=BP
24,Шарф женский зимний осенний шерстяной,120714921,64,5247,1888,BEREG,126502,287,5,https://www.wildberries.ru/catalog/120714921/detail.aspx?targetUrl=BP
25,Набор для создания браслетов Бижутерия Подарок для девочки,38168410,68,3422,1095,kiddiboom,210263,3082,5,https://www.wildberries.ru/catalog/38168410/detail.aspx?targetUrl=BP
26,Перчатки подростковые непромокаемые,47523558,61,3150,1228,SNOW GLOVE,650724,251,5,https://www.wildberries.ru/catalog/47523558/detail.aspx?targetUrl=BP
27,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",17806525,50,1990,995,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/17806525/detail.aspx?targetUrl=BP
